,date,type,source,mean,std
11064,2021-03-15,65,6,59.99622443628736,8.507080592550833
11065,2021-03-15,65,7,62.625418060200666,9.203277914107364
11066,2021-03-15,65,9,60.09184224743382,9.132193923013961
11067,2021-03-15,65,13,74.068,10.964316712128277
11099,2021-03-16,65,2,64.10063535284775,7.679601911115349
11100,2021-03-16,65,3,56.685497859260074,8.660496250967197
11101,2021-03-16,65,6,60.067531376358765,8.481412941240855
11102,2021-03-16,65,7,62.89718076285241,9.485049015655996
11103,2021-03-16,65,9,60.240860215053765,9.427566922963662
11104,2021-03-16,65,13,75.70731707317073,13.593354743428383
11136,2021-03-17,65,2,64.11586558911101,7.6911341121820405
11137,2021-03-17,65,3,56.925437149455625,8.570808811294357
11138,2021-03-17,65,6,60.29698021885522,8.494420406575362
11139,2021-03-17,65,7,62.76806722689076,9.485235139522825
11140,2021-03-17,65,9,60.71746203904555,9.826652654873625
11141,2021-03-17,65,13,74.81673306772909,11.098751230857557
11173,2021-03-18,65,2,64.15756493138255,7.712074567184788
11174,2021-03-18,65,3,57.038524085794656,8.623184171795204
11175,2021-03-18,65,6,60.24362561368316,8.430941798613384
11176,2021-03-18,65,7,62.455,9.030904553906526
11177,2021-03-18,65,9,60.475013728720484,9.556486581520348
11178,2021-03-18,65,13,75.48132780082987,11.995514087757927
11210,2021-03-19,65,2,64.20775127768313,7.712318155226894
11211,2021-03-19,65,3,57.156839079198576,8.526080062801018
11212,2021-03-19,65,6,60.16824556761048,8.350898008224004
11213,2021-03-19,65,7,62.73141891891892,9.566783305924618
11214,2021-03-19,65,9,60.36688668866887,9.28157602959203
11215,2021-03-19,65,13,74.6600790513834,10.966175773934923
11247,2021-03-20,65,2,64.31377808543162,7.6923866560617435
11248,2021-03-20,65,3,57.80442658586391,8.710920343503904
11249,2021-03-20,65,6,60.502722515870275,8.572244252170034
11250,2021-03-20,65,7,62.70648464163823,9.087750312414473
11251,2021-03-20,65,9,61.33629300776914,10.335413383859631
11252,2021-03-20,65,13,75.28461538461538,12.357440111379303
11284,2021-03-21,65,2,64.38738343710719,7.655471507244352
11285,2021-03-21,65,3,57.785720575932366,8.852195314672867
11286,2021-03-21,65,6,60.121899834657846,8.436943114474783
